Temperature (K),Pressure (Pa),n-heptane_mass_fraction,n-heptane_mole_fraction,n-heptane_fugacity_coeff_Fluid,N2_mass_fraction,N2_mole_fraction,N2_fugacity_coeff_Fluid,O2_mass_fraction,O2_mole_fraction,O2_fugacity_coeff_Fluid
260,100000.0,0.0,0.0,0.9796182590465498,0.7670824885424203,0.7899999999999999,0.9995028590221874,0.23291751145757963,0.20999999999999996,0.998886549440945
260,100000.0,0.05,0.0149275754967309,0.9770530095117046,0.7287283641152993,0.7782072153575826,0.9995313366696036,0.22127163588470064,0.20686520914568648,0.9988732889991978
260,100000.0,0.1,0.030999604999762134,0.9743390363934434,0.6903742396881783,0.7655103120501879,0.9996061411684624,0.20962576031182167,0.20349008295004994,0.998903061886057
260,100000.0,0.15000000000000002,0.048352947775149424,0.9714637785113062,0.6520201152610573,0.7518011712576319,0.9997384323147469,0.19797988473894268,0.19984588096721861,0.9989866081965715
260,100000.0,0.2,0.06714719076140574,0.9684133983638555,0.6136659908339364,0.7369537192984896,0.9999422568971461,0.1863340091660637,0.19589908994010477,0.9991374781122588
260,100000.0,0.25,0.08756957079029096,0.9651726748303121,0.5753118664068153,0.7208200390756702,1.0002354321301827,0.17468813359318472,0.19161039013403888,0.9993728963259461
260,100000.0,0.30000000000000004,0.10984123395536073,0.96172491294553,0.5369577419796941,0.7032254251752651,1.0006407532114054,0.16304225802030572,0.18693334086937427,0.9997149445073144
260,100000.0,0.35000000000000003,0.1342252760093342,0.9580518926599116,0.49860361755257315,0.683962031952626,1.001187667381747,0.15139638244742673,0.1818126920380398,1.0001922017373104
260,100000.0,0.4,0.16103718445645337,0.9541338944747765,0.46024949312545216,0.6627806242794018,1.0019146314466973,0.13975050687454776,0.17618219126414478,1.0008420561996534
260,100000.0,0.45,0.19065856315058302,0.9499498674259788,0.4218953686983312,0.6393797351110394,1.002872490707187,0.1281046313016688,0.16996170173837755,1.0017140204534611
260,100000.0,0.5,0.22355540980238753,0.9454778533295604,0.38354124427121017,0.6133912262561139,1.0041294188915542,0.11645875572878982,0.1630533639414986,1.0028745810239938
260,100000.0,0.55,0.2603028115985561,0.9406958681547026,0.3451871198440891,0.5843607788371407,1.005778305132312,0.10481288015591082,0.1553364095643032,1.0044144539912192
260,100000.0,0.6000000000000001,0.3016188517050566,0.9355836017259012,0.30683299541696807,0.5517211071530053,1.0079480903814126,0.09316700458303183,0.1466600411419381,1.0064597248518883
260,100000.0,0.65,0.3484120003345535,0.9301256024721108,0.2684788709898471,0.5147545197357029,1.0108216971693018,0.08152112901015286,0.13683347992974382,1.0091894744217842
